Unnamed: 0,Course,Daytime_evening_attendance,Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status_New,Status_0,Status_1,Status_2,Status,Attendance,Attendance_Category
0,171,1,127.3,0,0,1,1,0,20,0.0,0.0,0,True,False,False,0,0,0
1,9254,1,142.5,0,0,0,1,0,19,28.0,27.333333333333332,1,False,True,False,2,0,3
2,9070,1,124.8,0,0,0,1,0,19,0.0,0.0,0,True,False,False,0,2,2
3,9773,1,119.6,0,0,1,0,0,20,26.857142857142858,24.8,1,False,True,False,2,0,3
4,8014,0,141.5,0,0,1,0,0,45,24.666666666666668,26.0,1,False,True,False,2,0,3
5,9991,0,114.8,0,1,1,1,0,50,23.714285714285715,23.0,1,True,False,False,2,0,3
6,9500,1,128.4,0,0,1,0,1,18,26.6,28.69,1,False,True,False,2,0,3
7,9254,1,113.1,0,0,0,1,0,22,0.0,0.0,0,True,False,False,0,1,1
8,9238,1,129.3,0,0,1,0,1,21,27.75,28.285714285714285,1,False,False,True,2,0,3
9,9238,1,123.0,0,1,0,0,0,18,22.8,27.0,0,True,False,False,0,1,3
10,9670,1,130.6,0,0,1,0,0,18,24.666666666666668,28.4,1,False,True,False,2,0,3
11,9500,1,119.3,0,0,1,0,1,18,26.428571428571427,26.428571428571427,1,False,True,False,2,1,3
12,9853,1,130.2,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0,0,0
13,9254,1,111.8,0,0,1,0,1,21,21.142857142857142,22.0,1,False,True,False,2,1,3
14,9085,1,137.1,0,0,1,0,1,18,26.5,24.0,1,False,True,False,2,1,3
15,9773,1,120.7,0,0,1,0,0,20,26.4,0.0,0,True,False,False,0,3,3
16,9238,1,137.4,0,0,1,0,0,18,24.0,22.0,1,False,True,False,1,1,3
17,9500,1,127.3,0,0,1,0,0,18,26.6125,29.09,1,False,True,False,2,1,3
18,9130,1,136.3,0,0,1,0,0,20,25.0,24.5,1,False,True,False,2,0,3
